Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy
5263,AGEC, Research Methods in the Agricultural Sciences,"
Philosophy, methods, and techniques of scientific inquiry in the discovery of new knowledge in the food, agricultural and human sciences; role of theory and assumptions. Defining and evaluating research project proposals, including objectives and procedures, analytical methods and techniques, evaluation of research studies, and development of thesis prospectus or equivalent.
",,,,2019-2020,,,
5263,AGEC, Research Methods in the Agricultural Sciences,"
Philosophy, methods, and techniques of scientific inquiry in the discovery of new knowledge in the food, agricultural and human sciences; role of theory and assumptions. Defining and evaluating research project proposals, including objectives and procedures, analytical methods and techniques, evaluation of research studies, and development of thesis prospectus or equivalent.
",,,,2019-2020,,,
5283,AGEC, Agricultural Finance,"
Theories, principles, and problems of financing agricultural business, including farms and ranches; costs and returns from the use of capital; forms and roles of capital in agriculture; capital productivity and earning, and capital market organization, and institutions; supply and demand of financial resources; and role of debt in farm growth.
",,,,2019-2020,,,
1413,AGEG, Fundamentals of Agricultural Engineering,"
Introduction to the major areas of agricultural engineering with emphasis on solving practical problems in agricultural production systems, grain systems, food systems, and hydrology. Course includes hands on work.
",,,,2019-2020,,,
1413,AGEG, Fundamentals of Agricultural Engineering,"
Introduction to the major areas of agricultural engineering with emphasis on solving practical problems in agricultural production systems, grain systems, food systems, and hydrology. Course includes hands on work.
",,,,2019-2020,,,
2423,AGEG, Agricultural Machinery,"
Identification of agricultural machines and equipment; accessories, attachments, and components of agricultural tractors; inspections, adjustments, and maintenance services; and career opportunities.
",,,,2019-2020,,,
2603,AGRO, Environmental Soil Science,"
An introduction to soils, its components and its relationship to the environment. The importance of soils to man, animals and plants. Important physical properties, role of soil constituents; origin, nature, and classification of parent materials; soil genesis, classification and survey; soil fertility and chemical properties; soils and chemical pollution; soils and the world's food supplements.Prerequisites: AGRO 1703 (may be taken concurrently).
",,,,2019-2020,,,
2603,AGRO, Environmental Soil Science,"
An introduction to soils, its components and its relationship to the environment. The importance of soils to man, animals and plants. Important physical properties, role of soil constituents; origin, nature, and classification of parent materials; soil genesis, classification and survey; soil fertility and chemical properties; soils and chemical pollution; soils and the world's food supplements.Prerequisites: AGRO 1703 (may be taken concurrently).
",,,,2019-2020,,,
2633,AGRO, Forage and Pasture Management,"
Use of forage in grassland agriculture, identification of forage grasses and legumes, cultural practices including weed control, mechanization of forage harvesting and storage; types of pastures, different systems of grazing management and utilization of forages by farm animals.Prerequisites: AGRO 1703 and AGRO 2613 (may be taken concurrently).
",,,,2019-2020,,,
2633,AGRO, Forage and Pasture Management,"
Use of forage in grassland agriculture, identification of forage grasses and legumes, cultural practices including weed control, mechanization of forage harvesting and storage; types of pastures, different systems of grazing management and utilization of forages by farm animals.Prerequisites: AGRO 1703 and AGRO 2613 (may be taken concurrently).
",,,,2019-2020,,,
2733,AGRO, Principles of Crop Production,"
Crop characteristics and classifications, growth patterns, soil and climate requirements (Physiology), pest control, storage, distribution, and application of these principles to the management and production of field and vegetable crops for improved food, fiber, and forages.Prerequisites: AGRO 1703 and AGRO 2603 (may be taken concurrently).
",,,,2019-2020,,,
3643,AGRO, Soil and Water Management,"
Sustainable soil productivity and management in agricultural systems involving resource inputs, tillage systems, erosion control, residue management, and water management for a quality environment.Prerequisites: AGRO 2603 and AGRO 3733 (may be taken concurrently).
",,,,2019-2020,,,
3713,AGRO, Gen Entomology,"
Insect morphology, life histories, characteristics and habits of beneficial and harmful insects and their impact on agricultural production and the environment; anatomy and physiological growth and metamorphosis, insect orders, ecological aspects and insect behavior, control of harmful insects.Prerequisites: AGRO 1703 and AGRO 3623 (may be taken concurrently) and AGRO 3633 (may be taken concurrently).
",,,,2019-2020,,,
4613,AGRO, Soil Microbiology,"
Role of soil microorganisms in soil-plant ecosystems. Microbial ecology, microbes in nutrient cycles important to agriculture, pesticide degradation, bacterial fertilizers, composting, waste disposal, plant microbe interactions. Laboratory estimation of soil microbial populations and measurement of important biological processes in soil and current methods.Prerequisites: AGRO 3623 and AGRO 3633 and AGRO 3643.
",,,,2019-2020,,,
4623,AGRO, Environmental Science,"
Physical, chemical, biological and agricultural components of the environment and their interactions and effects on pollution and the maintenance and utilization of varied environmental systems.Prerequisites: AGRO 3623 and AGRO 3633 and AGRO 3643.
",,,,2019-2020,,,
5613,AGRO, Environmental Microbiology,"
Study of the biological and chemical interactions between microbes and microbial metabolites with the environment (e.g. air, water, and soil) as related to food, agriculture quality and safety, animal and human health, and waste management. Emphasis will be on bioremediation, microbial bioprocesses, microbial by-products, microbial control and aerobiology. Laboratory, field and greenhouse situations will be practiced.
",,,,2019-2020,,,
5613,AGRO, Environmental Microbiology,"
Study of the biological and chemical interactions between microbes and microbial metabolites with the environment (e.g. air, water, and soil) as related to food, agriculture quality and safety, animal and human health, and waste management. Emphasis will be on bioremediation, microbial bioprocesses, microbial by-products, microbial control and aerobiology. Laboratory, field and greenhouse situations will be practiced.
",,,,2019-2020,,,
5613,AGRO, Environmental Microbiology,"
Study of the biological and chemical interactions between microbes and microbial metabolites with the environment (e.g. air, water, and soil) as related to food, agriculture quality and safety, animal and human health, and waste management. Emphasis will be on bioremediation, microbial bioprocesses, microbial by-products, microbial control and aerobiology. Laboratory, field and greenhouse situations will be practiced.
",,,,2019-2020,,,
5663,AGRO, Principles of Environmental Science and Management,"
Discussion, study and analysis of the methods of monitoring, assessing, and designing remedies for environmental pollution, including the physical, chemical and biological components utilized in maintaining and improving the capacity of varied environmental characteristics as related to agricultural production.
",,,,2019-2020,,,
5723,AGRO, Soil-Plant Relations,"
Discussion, study and analysis of the theories, principles, and practices which combine the production and management of plants for food, feed, and fiber with the determination of soil properties and their conservation and management. Review and analysis of recent literature pertaining to growth response curves, nutrient uptake, movement of nutrients in the soil, measurement of availability of nutrients to plants, and movement of nutrient to natural water systems.
",,,,2019-2020,,,
5733,AGRO, Agricultural Chemicals and Water Quality,"
Study and analysis of practices underlying the economical use of fertilizers, pesticides, and other agricultural chemicals. Emphasis on the relationship of soil properties and plant growth, selectivity and impact on the environment.
",,,,2019-2020,,,
5753,AGRO," Soils, Ecology, and Land Uses","
Soils and their properties as planned related to landscape ecology and specific land uses will be examined on a global, regional, and local level. An ecosystem approach will be used to examine issues and current problems associated with ecology and land use practices in agricultural systems, rangelands, forests, and wetlands. Also, ethical and philosophical points will be considered based on different soils, ecology, and land use viewpoints.
",,,,2019-2020,,,
1513,ANSC, General Animal Science,"
Introductory course dealing with domestic farm animals common in the United States. Selection, reproduction, nutrition, management and marketing of beef cattle, swine, sheep, goats, and horses.
",,,,2019-2020,,,
2513,ANSC, Animal Production and Marketing,"
Systematic study of methods of breeding, feeding, marketing, sanitation and management of commercial animals (swine, beef and dairy cattle, horses, goats and sheep).Prerequisites: ANSC 1513 and ANSC 2523 (may be taken concurrently) and ANSC 2533 (may be taken concurrently).
",,,,2019-2020,,,
3503,ANSC, Animal Nutrition,"
Composition and digestibility of feed, with physiology, preparation, feeding standards, calculation and balancing rations for commercial animal (swine, cattle-beef and dairy, sheep, goats, and horses).Prerequisites: ANSC 1513.
",,,,2019-2020,,,
3514,ANSC, Anatomy and Physiology,"
Comparative approach, anatomically and physiologically of the basic systems of domestic animals.Prerequisites: ANSC 1513.
",,,,2019-2020,,,
3523,ANSC, Meat Science,"
Methods of slaughtering farm animals, processing, curing preservation and storage of meats and products.Prerequisites: ANSC 1513.
",,,,2019-2020,,,
4533,ANSC, Breeding/Genetics,"
Physiology of reproduction, breeding, breeding systems and practices. Application of genetic principles to the problems of animal breeding. Prerequisite: Junior standing.Prerequisites: ANSC 1513 and ANSC 2513.
",,,,2019-2020,,,
5533,ANSC, Non-Ruminant Nutrition,"
Concepts of the function deficiency, interrelation and bio adaptability of nutrients as part of total feed formulation. The physical, chemical, and biological interrelationships of nutrients as they relate to growth, development, and production of mono-gastric animals.
",,,,2019-2020,,,
5563,ANSC, Animal Health and Diseases,"
Etiology, epidemiology, immunology, preventive measures, and management practices pertinent to diseases and health of animals.
",,,,2019-2020,,,
